,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,97675,146,971,982,2,0,142,4,0.0,9,2,4,971,142
1,2,97563,116,1001,1094,2,0,112,4,0.0,13,4,8,1972,254
2,3,97433,134,1008,1199,2,0,131,5,0.0,17,6,13,2980,385
3,4,97323,114,1037,1300,2,0,110,6,0.0,21,8,19,4017,495
4,5,97194,134,1032,1414,2,0,130,2,0.0,23,10,21,5049,625
5,6,97067,133,1036,1538,2,0,129,2,0.0,23,12,23,6085,754
6,7,96911,163,1049,1651,2,0,158,1,0.0,23,14,24,7134,912
7,8,96789,131,1089,1765,2,0,124,2,0.0,22,16,26,8223,1036
8,9,96644,153,1089,1886,4,0,145,0,0.0,18,20,26,9312,1181
9,10,96523,129,1109,2011,4,0,122,2,0.0,17,24,28,10421,1303
10,11,96371,160,1132,2109,4,0,152,3,0.0,18,28,31,11553,1455
11,12,96247,132,1151,2241,5,0,125,1,0.0,13,33,32,12704,1580
12,13,96115,139,1155,2362,5,0,132,1,0.0,12,38,33,13859,1712
13,14,95982,141,1177,2471,5,0,135,2,0.0,14,43,35,15036,1847
14,15,95851,139,1155,2626,5,0,132,1,0.0,14,48,36,16191,1979
15,16,95728,131,1149,2763,5,0,124,7,0.0,20,53,43,17340,2103
16,17,95598,137,1147,2887,7,0,130,3,0.0,21,60,46,18487,2233
17,18,95455,149,1152,3013,7,0,143,4,0.0,22,67,50,19639,2376
18,19,95322,140,1147,3160,7,0,134,2,0.0,22,74,52,20786,2510
19,20,95193,137,1147,3292,7,0,130,1,0.0,21,81,53,21933,2640
20,21,95080,122,1122,3445,7,0,116,2,0.0,23,88,55,23055,2756
21,22,94953,134,1114,3568,7,0,127,3,0.0,23,95,58,24169,2883
22,23,94825,137,1109,3696,9,0,131,4,0.0,24,104,62,25278,3014
23,24,94631,203,1109,3823,10,0,195,1,0.0,22,114,63,26387,3209
24,25,94413,227,1188,3937,11,0,219,3,0.0,23,125,66,27575,3428
25,26,94192,230,1248,4095,11,0,221,3,0.0,20,136,69,28823,3649
26,27,93983,219,1339,4223,12,0,211,0,0.0,19,148,69,30162,3860
27,28,93801,192,1423,4348,12,0,184,5,0.0,20,160,74,31585,4044
28,29,93599,210,1488,4466,13,0,202,1,0.0,19,173,75,33073,4246
29,30,93404,204,1530,4625,13,0,196,3,0.0,20,186,78,34603,4442
30,31,93208,203,1567,4785,13,0,196,3,0.0,21,199,81,36170,4638
31,32,93033,181,1621,4928,13,0,175,2,0.0,19,212,83,37791,4813
32,33,92863,178,1630,5091,14,0,172,7,0.0,20,226,90,39421,4985
33,34,92672,201,1648,5241,14,0,193,2,0.0,17,240,92,41069,5178
34,35,92496,185,1654,5427,14,0,176,2,0.0,19,254,94,42723,5354
35,36,92325,181,1655,5600,15,0,174,4,0.0,21,269,98,44378,5528
36,37,92165,169,1613,5814,15,0,161,1,0.0,22,284,99,45991,5689
37,38,92020,152,1577,6012,15,0,145,6,0.0,28,299,105,47568,5834
38,39,91855,176,1519,6211,15,0,169,3,0.0,28,314,108,49087,6003
39,40,91701,168,1497,6395,15,0,157,3,0.0,27,329,111,50584,6160
40,41,91544,175,1479,6563,15,0,163,3,0.0,29,344,114,52063,6323
41,42,91383,180,1448,6749,16,0,164,7,0.0,31,360,121,53511,6487
42,43,91239,162,1441,6917,17,0,145,5,0.0,34,377,126,54952,6632
43,44,91084,173,1431,7069,19,0,158,5,0.0,35,396,131,56383,6790
44,45,90945,158,1413,7241,19,0,143,7,0.0,39,415,138,57796,6933
45,46,90818,148,1386,7405,19,0,129,2,0.0,39,434,140,59182,7062
46,47,90675,164,1340,7577,20,0,145,7,0.0,42,454,147,60522,7207
47,48,90558,138,1334,7725,21,0,119,4,0.0,40,475,151,61856,7326
48,49,90435,140,1311,7866,24,0,123,4,0.0,40,499,155,63167,7449
