,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,198086,116,929,993,0,0,114,1,0.0,14,0,1,929,114
1,2,197950,138,939,1097,0,0,136,5,0.0,18,0,6,1868,250
2,3,197835,119,970,1200,0,0,117,1,0.0,19,0,7,2838,367
3,4,197695,144,993,1291,1,0,140,3,0.0,20,1,10,3831,507
4,5,197562,137,1014,1410,1,0,133,4,0.0,23,2,14,4845,640
5,6,197439,127,1039,1517,2,0,124,1,0.0,23,4,15,5884,764
6,7,197312,131,1057,1621,3,0,127,1,0.0,21,7,16,6941,891
7,8,197219,96,1066,1737,6,0,93,0,0.0,17,13,16,8007,984
8,9,197096,125,1027,1868,8,0,123,3,0.0,17,21,19,9034,1107
9,10,196955,144,1051,1964,10,0,142,5,0.0,19,31,24,10085,1249
10,11,196816,141,1085,2072,10,0,139,4,0.0,21,41,28,11170,1388
11,12,196685,133,1091,2204,11,0,131,1,0.0,18,52,29,12261,1519
12,13,196551,137,1111,2314,11,0,135,1,0.0,19,63,30,13372,1654
13,14,196411,143,1122,2437,11,0,140,5,0.0,23,74,35,14494,1794
14,15,196281,134,1137,2561,11,0,131,2,0.0,21,85,37,15631,1925
15,16,196140,147,1139,2685,13,0,144,4,0.0,19,98,41,16770,2069
16,17,195967,179,1149,2816,13,0,173,3,0.0,21,111,44,17919,2242
17,18,195746,226,1218,2920,14,0,221,1,0.0,18,125,45,19137,2463
18,19,195546,205,1292,3066,15,0,200,2,0.0,17,140,47,20429,2663
19,20,195346,204,1365,3194,15,0,200,0,0.0,15,155,47,21794,2863
20,21,195131,219,1422,3336,16,0,215,3,0.0,16,171,50,23216,3078
21,22,194930,204,1512,3462,16,0,201,1,0.0,15,187,51,24728,3279
22,23,194714,220,1556,3618,16,0,218,2,0.0,16,203,53,26284,3497
23,24,194495,223,1625,3765,16,0,219,7,0.0,21,219,60,27909,3716
24,25,194261,240,1689,3918,16,0,236,4,0.0,24,235,64,29598,3952
25,26,194046,220,1756,4085,17,0,215,4,0.0,26,252,68,31354,4167
26,27,193828,226,1795,4257,18,0,221,3,0.0,27,270,71,33149,4388
27,28,193582,255,1843,4426,18,0,248,1,0.0,25,288,72,34992,4636
28,29,193344,248,1882,4632,18,0,239,5,0.0,28,306,77,36874,4875
29,30,193091,263,1923,4829,18,0,254,6,0.0,28,324,83,38797,5129
30,31,192855,246,1971,5034,18,0,236,3,0.0,29,342,86,40768,5365
31,32,192604,260,1982,5259,19,0,251,2,0.0,27,361,88,42750,5616
32,33,192373,238,2028,5466,19,0,232,3,0.0,28,380,91,44778,5848
33,34,192151,229,2031,5693,20,0,222,5,0.0,29,400,96,46809,6070
34,35,191907,252,2035,5910,20,0,246,1,0.0,28,420,97,48844,6316
35,36,191668,247,2048,6140,21,0,242,6,0.0,29,441,103,50892,6558
36,37,191455,222,2044,6379,24,0,214,5,0.0,26,465,108,52936,6772
37,38,191262,203,2027,6608,24,0,194,3,0.0,25,489,111,54963,6966
