day,Akash Rabbani.Shaheed.Colony,Hassan.Town,Mohallah.Khalilzai,Jhangi.Syedan,Jinnahabad.Colony,unknown.22,Jadoon.Colony,unknown.23,Kaghan.Colony,Dar.ul.Khair,unknown.10,unknown.13,Banni,Maira.Tal.Road,unknown.15,unknown.4,PMA.Kakul,Banda.Phugwarian,Musa.Zai.Colony,unknown.26,unknown.19,Sairi,unknown.12,Thanda.Maira,Kholay.Choonakari,Banda.Sapan,Bilal.Town,Sir.Syed.Colony,unknown.3,Habibullah.Colony,unknown.18,unknown.6,Comsats,Al.Mansoor.Town,unknown.25,Police.Officers.Colony,Amir.Alam.Awan.Town,unknown.8,Kehal,unknown.2,Civil.Officers.Colony,Nawansher,Ayub.Teaching.Hospital,unknown.17,Sikandarabad,unknown.21,Mohalla.Nizami,unknown.9,Sheikh.ul.Bandi,Lower.Malikpura,Maira.Mandroch.Road,Salhad,unknown.5,unknown.1,Kakul.Village,unknown.16,unknown.7,unknown.11,Abbottabad.Public.School,Mian.de.Sairi,Malikpura,unknown.14,Mohalla.Usmanabad,unknown.24,unknown.20,Jhangi.Qazian,Muslim.Town,unknown
1,5,15,2,16,19,3,16,1,28,7,4,15,23,13,1,8,3,24,49,1,7,1,11,7,12,5,53,31,14,33,1,11,0,24,2,9,14,11,30,52,10,91,0,0,11,0,6,0,22,31,35,19,0,6,9,0,11,58,0,16,24,38,22,1,0,37,8,4
2,6,14,2,14,22,4,17,0,23,7,4,12,22,12,1,9,4,24,54,3,9,1,10,8,15,5,48,32,12,36,1,12,0,23,2,10,14,8,29,54,8,92,0,0,13,0,5,0,23,33,31,20,0,6,9,0,13,63,0,15,23,43,22,1,0,30,7,5
3,6,13,2,13,24,6,15,0,19,7,3,12,25,12,1,10,4,25,61,4,8,2,10,9,18,5,50,30,12,36,2,13,0,21,2,10,15,9,29,54,9,94,0,0,16,0,5,0,26,35,34,19,0,8,10,0,12,62,0,13,28,38,24,1,0,33,8,5
4,7,13,2,17,25,5,13,0,15,7,9,11,25,12,1,10,4,24,64,4,9,2,11,7,18,6,55,30,11,37,2,14,0,21,2,13,14,9,29,53,9,87,0,0,15,0,4,0,29,30,39,20,0,10,10,0,12,66,0,11,24,38,23,1,0,36,8,6
5,6,12,2,19,30,4,15,0,16,9,9,13,25,10,1,8,3,25,66,4,9,2,10,8,16,9,61,33,10,34,2,14,0,23,3,14,14,6,32,56,10,88,0,0,17,0,4,0,31,31,42,21,0,11,11,0,15,66,0,13,24,40,25,1,0,41,7,6
6,8,11,2,18,30,5,16,0,13,9,11,15,27,12,1,9,3,29,71,3,11,2,11,9,18,10,59,28,9,34,2,14,0,25,3,15,17,4,25,56,10,93,0,0,18,0,3,0,30,36,45,19,0,11,11,0,12,68,0,15,24,37,26,2,0,34,6,6
7,8,13,3,18,33,4,16,0,12,9,13,14,30,11,1,9,3,31,68,3,10,3,11,9,16,12,55,27,8,34,2,14,1,24,3,14,14,4,26,62,11,93,0,0,17,0,3,0,32,39,46,18,0,12,10,0,13,69,0,15,23,41,27,2,0,38,3,6
8,9,14,3,20,32,4,20,0,12,10,13,16,31,10,1,9,1,33,65,4,11,2,14,12,18,14,56,27,8,32,2,15,1,24,2,16,13,3,21,64,10,90,0,0,17,0,3,0,32,38,53,17,0,12,11,0,14,72,0,13,22,44,28,1,0,37,3,9
9,10,15,3,21,30,4,18,0,13,9,12,15,32,10,0,9,1,31,65,3,10,2,14,12,17,15,54,31,6,34,1,14,2,22,2,14,12,3,16,69,9,89,0,0,17,0,2,0,36,35,51,14,0,13,12,0,15,71,0,12,18,40,26,1,0,38,2,10
10,13,16,4,17,30,4,20,0,13,11,12,14,34,14,0,8,0,33,61,2,7,2,15,11,20,14,56,28,6,32,2,11,2,20,2,14,12,3,15,68,11,91,0,0,15,0,2,0,34,41,48,11,0,13,14,0,17,74,0,12,18,33,26,1,0,34,0,11
11,16,16,5,21,31,4,19,0,14,9,13,16,38,15,0,8,0,35,59,3,7,2,13,10,19,15,61,29,6,31,2,9,2,20,1,14,12,3,13,71,10,104,0,0,16,0,2,0,36,41,53,12,0,15,15,0,19,75,0,11,20,31,28,2,0,34,0,9
12,15,16,6,20,32,4,21,0,17,10,12,17,41,15,0,9,0,36,61,3,5,2,14,10,23,15,58,27,7,30,2,8,3,18,1,14,13,3,10,76,10,115,0,0,16,0,1,0,37,43,47,13,0,19,16,0,17,81,0,12,20,30,30,2,0,34,0,9
13,16,17,6,20,28,5,22,0,17,8,15,17,45,17,0,9,0,36,58,3,6,1,12,10,23,15,54,28,10,26,2,7,3,20,2,13,12,3,11,70,9,120,0,0,12,0,1,0,38,44,52,12,0,19,15,0,19,84,0,11,18,30,29,2,0,34,0,8
